WindowID,User,Day,Ax_mean,Ax_std,Ax_var,Ax_min,Ax_max,Ax_range,Ax_rms,Ax_zcr,Ax_energy,Ax_entropy,Ax_domfreq,Ay_mean,Ay_std,Ay_var,Ay_min,Ay_max,Ay_range,Ay_rms,Ay_zcr,Ay_energy,Ay_entropy,Ay_domfreq,Az_mean,Az_std,Az_var,Az_min,Az_max,Az_range,Az_rms,Az_zcr,Az_energy,Az_entropy,Az_domfreq,Gx_mean,Gx_std,Gx_var,Gx_min,Gx_max,Gx_range,Gx_rms,Gx_zcr,Gx_energy,Gx_entropy,Gx_domfreq,Gy_mean,Gy_std,Gy_var,Gy_min,Gy_max,Gy_range,Gy_rms,Gy_zcr,Gy_energy,Gy_entropy,Gy_domfreq,Gz_mean,Gz_std,Gz_var,Gz_min,Gz_max,Gz_range,Gz_rms,Gz_zcr,Gz_energy,Gz_entropy,Gz_domfreq
1816,8,FD,1.30584048711002,0.00871407868720205,7.59351673667489e-05,1.29418656548998,1.32305407775979,0.0288675122698063,1.30586923894355,0,13812.885200674,0.000858129488470869,1,0.180308153034802,1.26290492327643,1.59492884523584,-1.72391286514207,2.91984634167332,4.64375920681539,1.2687468004582,10,13038.7193937507,4.00528726600516,6,-0.46891388986518,0.455358574619902,0.207351431479869,-1.83959846571628,0.518114180616126,2.35771264633241,0.651864834758051,12,3441.91487863255,3.12851939517775,1,-0.917940961967367,0.775425022837366,0.60128396604233,-2.37609862492266,0.699323396916145,3.0754220218388,1.19884054099946,8,11641.4710062254,2.39275722125329,1,-0.223136166120888,0.966940820479125,0.934974550308843,-2.43053186576193,2.16643231670025,4.59696418246217,0.987104702058211,17,7892.44311188597,4.28175268465761,9,-0.102189510916425,1.11181191292432,1.23612572972045,-2.22652724322303,2.48501041499005,4.71153765821308,1.11033044429645,8,9985.95293380561,3.40736207355449,4
1817,8,FD,1.33406649910716,0.00835653553279733,6.98316861109044e-05,1.32305407775979,1.3519215900296,0.0288675122698066,1.33409238054136,0,14416.4000865301,0.000757823165082448,1,0.077193136278468,0.751291886405781,0.564439498579157,-1.13218157819615,2.17455156615207,3.30673314434822,0.751083702980867,12,4569.42650395595,4.23028478087248,6,-0.502504958860221,0.314612068923974,0.0989807539126237,-1.21594549485073,0.157612328974787,1.37355782382552,0.59193935621578,2,2838.17683164093,1.97372504581306,1,-1.16386419869462,0.619022318647638,0.383188630983898,-2.44241502733177,0.419847219702601,2.86226224703437,1.31662859323789,2,14041.4379055058,1.6211136626735,1,-0.937755027249842,0.98863975037724,0.977408556025972,-3.35394175048179,0.596472392762592,3.95041414324439,1.35865115172783,9,14952.0569119401,2.84459723966486,1,0.389963076327565,0.839664346031594,0.705036213996664,-1.31475490476503,1.87716214254992,3.19191704731495,0.921560458778722,9,6879.11680139403,3.87689925439923,1
1818,8,FD,1.36229251110431,0.0081888568462977,6.70573764491568e-05,1.3519215900296,1.3807891022994,0.0288675122698063,1.36231684938026,0,15032.8483046534,0.000698732095890004,1,0.263687432495127,1.15547012957369,1.33511122033704,-1.30110149949512,2.90346602935551,4.20456752885063,1.17890106170028,11,11257.4424775523,4.56363965077614,6,-0.435458031198551,0.509939588674549,0.260038384097568,-1.70726224189458,0.451946118548838,2.15920836044341,0.668410626526856,13,3618.8594017976,3.28080504438128,1,-1.06913967251419,0.638439381739187,0.407604844155515,-2.30149269646525,0.358267737826778,2.65976043429203,1.24343698705902,8,12523.69788037,1.91472700516863,1,-0.0669544724800604,1.01320986794181,1.02659423649466,-3.18782563663203,2.17240388372551,5.36022952035754,1.00978737130746,15,8259.33133554141,3.77814399827866,9,-0.113969152792891,1.20843661983569,1.46031906415991,-2.08883382958313,2.63197835750752,4.72081218709065,1.20709662602821,5,11802.3663430064,3.40844692466611,4
1819,8,FD,1.39041160638934,0.00790075739339718,6.24219673893202e-05,1.3807891022994,1.40003411047927,0.019245008179871,1.39043380409574,0,15659.7799249345,0.00060991202805562,1,0.266258183638092,1.18134943393984,1.39558648506997,-1.25708004437858,2.91677474482392,4.1738547892025,1.20456356782174,12,11752.88445028,4.09952841266976,7,-0.459229523590211,0.525689575369074,0.276349529651718,-1.65858688503168,0.539409647686031,2.19799653271771,0.69582378132624,9,3921.78295073909,3.18882770529151,1,-0.922348904651517,0.692162394123685,0.479088779839032,-2.11675425083778,0.571427512631209,2.68818176346899,1.15086622727666,8,10728.3938919967,2.29015208968813,1,-0.0643246049170794,0.864814000099077,0.747903254767366,-2.74973533326211,1.7359419305493,4.48567726381141,0.862398326413626,18,6024.22007454828,3.6935035264689,9,-0.201151142458998,1.11244797452246,1.23754049601912,-1.93259135818809,2.42080091410706,4.35339227229515,1.12438953578193,5,10240.4398082249,3.38420725100996,4
1820,8,FD,1.4188514518107,0.00788904388451924,6.22370134118704e-05,1.40965661456921,1.42890162274908,0.019245008179871,1.41887314013494,0,16306.9280011507,0.000588047286027103,1,0.311064600064308,1.07147071058275,1.14804948363671,-1.35126547738145,2.73147505633695,4.0827405337184,1.10997953299876,13,9979.64196577672,4.5499336295578,6,-0.522735649478715,0.45614704952954,0.208070130794504,-1.40760459567752,0.311243913948824,1.71884850962635,0.692106061011083,9,3879.98747747504,2.69708403131323,1,-0.825479614714801,0.6485302371199,0.420591468458794,-1.91425243809544,0.598664575295577,2.51291701339102,1.04753750492766,8,8888.41207626348,2.5186012484702,1,-0.158812930082388,0.865161815406543,0.748504966837545,-2.54833325354191,1.80705694245318,4.35539019599509,0.874877015211366,20,6199.8193131357,4.04543719151836,12,0.0471090633384831,1.12950827523332,1.27578894382055,-1.98609900258205,2.08833923493941,4.07443823752146,1.12420317334549,5,10237.0454771765,2.89256464860904,4
1821,8,FD,1.44718438051996,0.00841718082180005,7.08489329868785e-05,1.42890162274908,1.45776913501889,0.0288675122698066,1.44720858653601,0,16964.7428128428,0.000659511426300124,1,0.264665682859966,1.0961583927679,1.20156322203551,-1.29393522293037,2.83999321020158,4.13392843313194,1.12172208824297,11,10191.9095903427,4.53096512972006,7,-0.468356149921395,0.513791580575444,0.263981788270213,-1.64185471163992,0.242794194139184,1.8846489057791,0.693113367681381,11,3891.28973771486,3.09278764431527,1,-0.89169072861707,0.738717695600451,0.545703833793241,-2.26596610775259,0.569059125123105,2.8350252328757,1.15531502775816,12,10811.4977882472,2.61224954679548,1,-0.0826432125081034,0.880779566986721,0.775772645621316,-3.0097665667908,1.43899584677927,4.44876241357006,0.879762951102464,16,6269.26108607339,3.87662421226023,9,0.00660169097327188,1.19490473019934,1.42779731425275,-1.90048672475025,2.7268653982242,4.62735212297446,1.18826616630015,6,11437.0095039865,3.09956571448373,4
1822,8,FD,1.4754103925171,0.00844186468951857,7.12650794361405e-05,1.45776913501889,1.48663664728869,0.0288675122698063,1.47543427491457,0,17632.9410267008,0.000643955637352187,1,0.273094610537629,1.04684915415273,1.09589315155029,-1.23865235027003,2.73147505633695,3.97012740660698,1.07624217873219,13,9382.20754098589,4.45059180754267,7,-0.437350963958489,0.405025839476887,0.164045930643957,-1.41597071352563,0.216174857965386,1.63214557149102,0.594557872504154,10,2863.34241642899,2.92427927013505,1,-0.949349135948719,0.560539229057992,0.314204227312928,-1.66793446208645,0.373662668927851,2.0415971310143,1.1008982019961,6,9817.01249438185,1.80037011269279,1,-0.12022742973885,0.597616181759298,0.357145100700563,-1.72860994291208,0.976476551263413,2.70508649417549,0.606326196585221,16,2977.81479899055,4.35219703834264,12,-0.0526690643164675,1.10732212729822,1.22616229360427,-1.80559956702991,2.36229908561871,4.16789865264862,1.10241203660689,5,9844.02961749154,3.08399744587348,4
1823,8,FD,1.50374332122636,0.00874784020029347,7.65247081698705e-05,1.48663664728869,1.5155041595585,0.0288675122698066,1.50376848303404,0,18316.6891695887,0.000664448821400962,1,0.228345085629546,1.00992821829657,1.01995500611169,-1.29598260472111,3.15223895632703,4.44822156104814,1.02993380896134,12,8592.1855718171,4.06073508084042,6,-0.465846327858579,0.425533426377155,0.181078696964282,-1.35132373377494,0.165978396979332,1.51730213075428,0.629348482656294,10,3208.24405223641,2.68502071236487,1,-0.866848388118155,0.662512408167284,0.438922690975614,-1.70227688129791,0.6543230156426,2.35659989694051,1.08879378220581,6,9602.32239137731,2.16104611139245,1,-0.0574121430278424,0.750236818287854,0.562855283514683,-1.69929543723146,1.60728339098575,3.30657882821721,0.748262981903505,16,4535.16966970571,3.73031712681647,9,-0.145447576748605,1.18595609698925,1.40649186398598,-2.33140253512484,2.22674613687955,4.55814867200439,1.18828413024428,5,11437.3553109423,2.94881953069228,4
1824,8,FD,1.53207624993561,0.00889525848290864,7.91256234777582e-05,1.5155041595585,1.54437167182831,0.0288675122698063,1.53210178580493,0,19013.4206447399,0.000662975844561025,1,0.305638686780002,1.09225911111237,1.19302996580799,-1.16698937495719,2.61374295058539,3.78073232554259,1.12835680711184,10,10312.8315816605,3.78107634803203,6,-0.512561148649157,0.511346354458014,0.261475094217501,-1.93542801612968,0.268652976693792,2.20408099282347,0.722003287040582,11,4222.43884662898,3.05677113409616,1,-0.841506074157034,0.685900819048179,0.470459933570963,-1.83490963761044,0.551295758008234,2.38620539561867,1.0832197717079,12,9504.2570979332,2.65223791562655,1,-0.0964138347991086,1.07262380220899,1.15052182106528,-2.95765188211153,1.90042944492267,4.85808132703419,1.07099667264485,16,9290.97436981228,3.61203761119762,9,0.0321665202946003,1.1909957432685,1.41847086048369,-2.40488668188906,2.78822094590622,5.19310762779527,1.18479734898963,6,11370.3325412,3.32262668833821,4
1825,8,FD,1.56030226193276,0.00902683702579392,8.1483786690244e-05,1.54437167182831,1.57323918409811,0.0288675122698063,1.56032808312988,0,19720.4521887304,0.000657590398327848,1,0.0737578516458763,1.17534919877831,1.38144573906881,-1.70446154303774,3.31808757430805,5.0225491173458,1.17112619415991,11,11109.4461574444,3.40813685564459,6,-0.402483859986716,0.492954926143537,0.24300455920918,-1.70269906347968,0.49605815992703,2.19875722340671,0.634269474357001,16,3258.61190541897,3.85726549288493,1,-0.979744126448584,0.608004787651596,0.369669821807262,-1.71885598190019,0.419847219702601,2.13870320160279,1.15128664226301,6,10736.2335544912,2.06333135098372,1,-0.143968640764337,1.10061703715379,1.21135786247318,-2.9717662684597,3.4090456689203,6.38081193738,1.10391362895448,17,9870.86493155076,4.16394583243003,9,-0.00752435604403636,1.01399623590593,1.02818836643139,-1.93330470608395,2.90593809118316,4.83924279726711,1.00837526109217,7,8236.24740417984,3.79678863324311,4
